Best Validation Accuracy:	""
Test Accuracy:	0.81%
Inference Speed:	2.59 samples/sec
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	0.0000	0.6999	1.1451	0.7595
2	0.0000	0.7611	0.9823	0.7752
3	0.0000	0.7811	0.9138	0.7850
4	0.0000	0.7929	0.8483	0.7958
5	0.0000	0.7993	0.8210	0.8016
