Best Validation Accuracy:	0.85% at Epoch 25
Test Accuracy:	0.84%
Inference Speed:	2.34 samples/sec
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	0.0000	0.7461	1.1147	0.7533
2	0.0000	0.7664	0.9517	0.7724
3	0.0000	0.7832	0.8905	0.7851
4	0.0000	0.7905	0.8772	0.7791
5	0.0000	0.7962	0.8169	0.7935
6	0.0000	0.8019	0.8039	0.7972
7	0.0000	0.8054	0.8638	0.7902
8	0.0000	0.8064	0.7671	0.8007
9	0.0000	0.8120	0.7288	0.8111
10	0.0000	0.8179	0.7416	0.8123
11	0.0000	0.8234	0.7399	0.8118
12	0.0000	0.8262	0.7287	0.8208
13	0.0000	0.8299	0.7334	0.8188
14	0.0000	0.8338	0.6900	0.8271
15	0.0000	0.8368	0.6793	0.8248
16	0.0000	0.8386	0.6373	0.8332
17	0.0000	0.8410	0.6634	0.8287
18	0.0000	0.8446	0.6302	0.8340
19	0.0000	0.8468	0.6171	0.8379
20	0.0000	0.8494	0.6246	0.8387
21	0.0000	0.8515	0.6657	0.8337
22	0.0000	0.8536	0.6118	0.8405
23	0.0000	0.8568	0.6020	0.8409
24	0.0000	0.8583	0.5944	0.8401
25	0.0000	0.8610	0.5898	0.8468
26	0.0000	0.8636	0.6350	0.8375
27	0.0000	0.8664	0.5887	0.8434
28	0.0000	0.8675	0.6559	0.8356
29	0.0000	0.8696	0.6031	0.8421
30	0.0000	0.8737	0.5855	0.8468
31	0.0000	0.8777	0.6046	0.8403
32	0.0000	0.8790	0.6528	0.8400
33	0.0000	0.8820	0.6059	0.8448
34	0.0000	0.8813	0.6547	0.8364
35	0.0000	0.8866	0.7060	0.8380
36	0.0000	0.8873	0.6160	0.8417
37	0.0000	0.8931	0.6255	0.8413
38	0.0000	0.8941	0.6401	0.8438
39	0.0000	0.8947	0.6904	0.8340
40	0.0000	0.8991	0.6241	0.8407
