Best Validation Accuracy:	0.87% at Epoch 50
Test Accuracy:	0.87%
Inference Speed:	10.53 samples/sec
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	2.4240	0.7464	1.9999	0.7743
2	1.9339	0.7678	1.8710	0.7777
3	1.8590	0.7761	1.8771	0.7794
4	1.8252	0.7845	1.7685	0.8028
5	1.7869	0.7902	1.7425	0.8022
6	1.7388	0.7980	1.7053	0.8077
7	1.7095	0.8022	1.6603	0.8167
8	1.6880	0.8042	1.7588	0.7920
9	1.6726	0.8097	1.6426	0.8168
10	1.6439	0.8143	1.6164	0.8222
11	1.6136	0.8210	1.5788	0.8333
12	1.5909	0.8251	1.5589	0.8365
13	1.5755	0.8270	1.5573	0.8386
14	1.5601	0.8295	1.5668	0.8345
15	1.5533	0.8312	1.5249	0.8406
16	1.5357	0.8334	1.5152	0.8416
17	1.5207	0.8359	1.5361	0.8415
18	1.5120	0.8379	1.4952	0.8461
19	1.5003	0.8430	1.5117	0.8438
20	1.4960	0.8433	1.4931	0.8436
21	1.4795	0.8479	1.4953	0.8514
22	1.4716	0.8502	1.4755	0.8475
23	1.4627	0.8521	1.4762	0.8538
24	1.4658	0.8518	1.4855	0.8502
25	1.4452	0.8565	1.4759	0.8486
26	1.4278	0.8534	1.4232	0.8555
27	1.3436	0.8572	1.3442	0.8540
28	1.2850	0.8588	1.3340	0.8553
29	1.2742	0.8613	1.3292	0.8503
30	1.2690	0.8618	1.3092	0.8608
31	1.2642	0.8636	1.3137	0.8566
32	1.2540	0.8647	1.3056	0.8604
33	1.2446	0.8663	1.3099	0.8548
34	1.2378	0.8690	1.3156	0.8579
35	1.2392	0.8689	1.3220	0.8600
36	1.2322	0.8697	1.3277	0.8586
37	1.2215	0.8717	1.3253	0.8571
38	1.2139	0.8751	1.3155	0.8596
39	1.2245	0.8713	1.3170	0.8617
40	1.2056	0.8772	1.3111	0.8624
41	1.1972	0.8778	1.3140	0.8562
42	1.1887	0.8798	1.3094	0.8587
43	1.1892	0.8797	1.3029	0.8603
44	1.1815	0.8816	1.3212	0.8591
45	1.1785	0.8832	1.3191	0.8578
46	1.1782	0.8827	1.3178	0.8558
47	1.1641	0.8864	1.3202	0.8588
48	1.1602	0.8868	1.3207	0.8643
49	1.1616	0.8858	1.3464	0.8633
50	1.1536	0.8890	1.3079	0.8656
