Best Validation Accuracy:	0.87% at Epoch 56
Test Accuracy:	0.87%
Inference Speed:	""
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	2.2724	0.7498	1.9971	0.7706
2	1.9216	0.7719	1.8553	0.7863
3	1.8522	0.7837	1.8276	0.7916
4	1.8133	0.7881	1.8350	0.7923
5	1.7829	0.7917	1.7410	0.8010
6	1.7574	0.7940	1.7633	0.7960
7	1.7327	0.7966	1.6862	0.8103
8	1.7046	0.8018	1.6639	0.8100
9	1.6796	0.8071	1.6412	0.8207
10	1.6670	0.8079	1.6271	0.8216
11	1.6380	0.8141	1.6667	0.8207
