Best Validation Accuracy:	0.86% at Epoch 66
Test Accuracy:	0.90%
Inference Speed:	11.33 samples/sec
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	2.4128	0.7510	1.9827	0.7661
2	1.9518	0.7681	1.9343	0.7661
3	1.8929	0.7739	1.8649	0.7822
4	1.8534	0.7791	1.9567	0.7739
5	1.8212	0.7833	1.8324	0.7841
6	1.7883	0.7863	1.7383	0.7937
7	1.5020	0.7867	1.4285	0.7953
8	1.4003	0.7944	1.3812	0.7980
9	1.3802	0.7991	1.3675	0.8029
10	1.3687	0.8008	1.3632	0.8050
11	1.3539	0.8016	1.3295	0.8111
12	1.3374	0.8062	1.3131	0.8130
13	1.3292	0.8075	1.3319	0.8125
14	1.3114	0.8096	1.2917	0.8142
15	1.3030	0.8131	1.2881	0.8218
16	1.2886	0.8159	1.2676	0.8247
17	1.2716	0.8189	1.2600	0.8253
18	1.2627	0.8192	1.2518	0.8261
19	1.2471	0.8218	1.2357	0.8309
20	1.2348	0.8263	1.2233	0.8294
21	1.2195	0.8290	1.2156	0.8354
22	1.2114	0.8312	1.2196	0.8287
23	1.2011	0.8335	1.1918	0.8361
24	1.1825	0.8354	1.2181	0.8309
25	1.1871	0.8360	1.1986	0.8341
26	1.1804	0.8363	1.1830	0.8405
27	1.1657	0.8395	1.1818	0.8393
28	1.1626	0.8412	1.1772	0.8343
29	1.1571	0.8419	1.1795	0.8380
30	1.1481	0.8433	1.1567	0.8441
31	1.1394	0.8452	1.1748	0.8393
32	1.1333	0.8473	1.1561	0.8466
33	1.1268	0.8512	1.1501	0.8481
34	1.1306	0.8495	1.1523	0.8481
35	1.1181	0.8512	1.1403	0.8489
36	1.1192	0.8507	1.1410	0.8493
37	1.1017	0.8542	1.1449	0.8482
38	1.1015	0.8553	1.1719	0.8494
39	1.0990	0.8571	1.1260	0.8534
40	1.0878	0.8579	1.1422	0.8468
41	1.0868	0.8587	1.1215	0.8523
42	1.0843	0.8589	1.1570	0.8532
43	1.0766	0.8622	1.1383	0.8508
44	1.0750	0.8617	1.1190	0.8529
45	1.0747	0.8603	1.1317	0.8511
46	1.0688	0.8630	1.1198	0.8534
47	1.0639	0.8626	1.1025	0.8570
48	1.0653	0.8628	1.1375	0.8519
49	1.0522	0.8658	1.1183	0.8561
50	1.0516	0.8666	1.1394	0.8487
51	1.0422	0.8684	1.1284	0.8499
52	1.0444	0.8680	1.1367	0.8516
53	1.0409	0.8688	1.1042	0.8549
54	1.0338	0.8693	1.1133	0.8577
55	1.0249	0.8728	1.1117	0.8525
56	1.0187	0.8740	1.1138	0.8557
57	1.0211	0.8723	1.1030	0.8519
58	1.0154	0.8740	1.0991	0.8582
59	1.0105	0.8748	1.1134	0.8594
60	1.0068	0.8768	1.0963	0.8588
61	1.0029	0.8766	1.1124	0.8513
62	1.0003	0.8785	1.1243	0.8524
63	0.9944	0.8779	1.1099	0.8590
64	0.9924	0.8796	1.1282	0.8563
65	0.9903	0.8808	1.1025	0.8610
66	0.9863	0.8808	1.0962	0.8597
67	0.9825	0.8826	1.1175	0.8616
68	0.9843	0.8814	1.1151	0.8557
69	0.9786	0.8831	1.1196	0.8557
70	0.9749	0.8836	1.1080	0.8593
71	0.9615	0.8885	1.1154	0.8610
72	0.9815	0.8827	1.1187	0.8575
73	0.9572	0.8881	1.1048	0.8605
74	0.9589	0.8890	1.1181	0.8600
75	0.9517	0.8905	1.1292	0.8588
76	0.9464	0.8915	1.1338	0.8609
77	0.9539	0.8898	1.1262	0.8563
78	0.9387	0.8942	1.1437	0.8604
79	0.9346	0.8947	1.1386	0.8566
80	0.9259	0.8974	1.1788	0.8591
