Best Validation Accuracy:	0.87% at Epoch 95
Test Accuracy:	0.87%
Inference Speed:	12.03 samples/sec
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	2.8199	0.7096	2.2531	0.7714
2	2.0057	0.7675	2.0233	0.7714
3	1.9250	0.7675	1.9263	0.7714
4	1.8847	0.7722	1.8162	0.7789
5	1.8471	0.7822	1.7984	0.7967
6	1.8235	0.7864	1.8014	0.7883
7	1.8000	0.7911	1.7428	0.7994
8	1.7811	0.7928	1.7288	0.8055
9	1.7563	0.7971	1.7088	0.8069
10	1.7369	0.7982	1.6919	0.8067
11	1.7218	0.8016	1.6747	0.8135
12	1.7078	0.8035	1.6590	0.8173
13	1.6872	0.8072	1.6437	0.8120
14	1.6714	0.8111	1.6338	0.8204
15	1.6569	0.8135	1.6082	0.8243
16	1.6359	0.8168	1.5886	0.8261
17	1.6217	0.8177	1.5875	0.8244
18	1.6097	0.8198	1.5566	0.8325
19	1.5930	0.8235	1.5424	0.8340
20	1.5811	0.8252	1.5375	0.8326
21	1.5717	0.8270	1.5399	0.8346
22	1.5605	0.8292	1.5138	0.8416
23	1.5565	0.8291	1.5257	0.8382
24	1.5481	0.8297	1.4884	0.8399
25	1.5034	0.8302	1.3884	0.8390
26	1.4102	0.8295	1.3578	0.8375
27	1.3725	0.8318	1.3477	0.8384
28	1.3596	0.8360	1.3525	0.8384
29	1.3542	0.8372	1.3524	0.8373
30	1.3425	0.8395	1.3261	0.8481
31	1.3319	0.8422	1.3243	0.8486
32	1.3315	0.8420	1.3276	0.8516
33	1.3224	0.8455	1.3195	0.8517
34	1.3126	0.8481	1.3067	0.8507
35	1.3106	0.8465	1.3264	0.8499
36	1.3068	0.8488	1.3121	0.8554
37	1.2956	0.8524	1.3087	0.8541
38	1.2946	0.8519	1.2947	0.8583
39	1.2803	0.8559	1.2856	0.8597
40	1.2810	0.8544	1.2872	0.8613
41	1.2708	0.8570	1.2808	0.8617
42	1.2719	0.8570	1.2791	0.8593
43	1.2682	0.8576	1.2747	0.8579
44	1.2630	0.8582	1.2846	0.8615
45	1.2551	0.8609	1.2807	0.8622
46	1.2486	0.8628	1.2799	0.8630
47	1.2449	0.8619	1.2609	0.8676
48	1.2413	0.8635	1.2728	0.8627
49	1.2343	0.8649	1.2868	0.8562
50	1.2350	0.8642	1.2708	0.8645
51	1.2339	0.8652	1.2953	0.8603
52	1.2344	0.8653	1.2589	0.8667
53	1.2240	0.8687	1.2931	0.8595
54	1.2227	0.8678	1.2792	0.8609
55	1.2148	0.8698	1.2681	0.8635
56	1.2096	0.8712	1.2553	0.8705
57	1.2048	0.8734	1.2806	0.8617
58	1.2050	0.8730	1.2579	0.8692
59	1.1936	0.8764	1.2724	0.8628
60	1.1947	0.8749	1.2647	0.8684
61	1.1892	0.8760	1.2564	0.8711
62	1.1831	0.8779	1.2813	0.8669
63	1.1884	0.8761	1.2836	0.8627
64	1.1799	0.8786	1.2699	0.8675
65	1.1776	0.8796	1.2633	0.8736
66	1.1689	0.8806	1.2562	0.8733
67	1.1658	0.8822	1.2520	0.8707
68	1.1636	0.8820	1.2612	0.8689
69	1.1536	0.8850	1.2652	0.8652
70	1.1573	0.8837	1.2851	0.8664
71	1.1485	0.8854	1.3093	0.8664
72	1.1510	0.8855	1.2765	0.8641
73	1.1485	0.8872	1.3175	0.8608
74	1.1514	0.8851	1.2763	0.8640
75	1.1428	0.8871	1.2623	0.8682
76	1.1308	0.8908	1.2929	0.8613
77	1.1307	0.8897	1.2784	0.8660
78	1.1281	0.8913	1.2957	0.8724
79	1.1299	0.8908	1.2818	0.8664
80	1.1227	0.8930	1.2915	0.8672
81	1.1248	0.8919	1.2679	0.8687
82	1.1125	0.8954	1.2653	0.8723
83	1.1069	0.8967	1.2998	0.8718
84	1.1032	0.8977	1.2738	0.8725
85	1.0976	0.8993	1.2787	0.8702
86	1.0962	0.8990	1.2685	0.8730
87	1.0960	0.8980	1.3157	0.8658
88	1.0870	0.9017	1.2961	0.8656
89	1.0879	0.9010	1.2864	0.8702
90	1.0814	0.9043	1.3228	0.8665
91	1.0900	0.9013	1.2906	0.8716
92	1.0796	0.9034	1.3153	0.8699
93	1.0703	0.9051	1.3084	0.8701
94	1.0719	0.9050	1.3309	0.8660
95	1.0703	0.9062	1.2930	0.8745
96	1.0631	0.9075	1.3032	0.8709
97	1.0638	0.9074	1.3255	0.8619
98	1.0557	0.9109	1.3050	0.8705
99	1.0480	0.9115	1.3238	0.8716
100	1.0471	0.9124	1.3019	0.8696
