Best Validation Accuracy:	0.87% at Epoch 47
Test Accuracy:	0.86%
Inference Speed:	11.47 samples/sec
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	2.3731	0.7493	1.9267	0.7693
2	1.9121	0.7718	1.8500	0.7804
3	1.8495	0.7829	1.7713	0.7954
4	1.8048	0.7913	1.7378	0.7979
5	1.7708	0.7951	1.7134	0.8006
6	1.7362	0.7995	1.7023	0.8018
7	1.7110	0.8036	1.6637	0.8075
8	1.6823	0.8076	1.6439	0.8129
9	1.6686	0.8107	1.6294	0.8170
10	1.6457	0.8162	1.5963	0.8246
11	1.6211	0.8191	1.5623	0.8312
12	1.5966	0.8236	1.5556	0.8322
13	1.5771	0.8272	1.5489	0.8313
14	1.5572	0.8301	1.5395	0.8363
15	1.5450	0.8333	1.5152	0.8398
16	1.5284	0.8350	1.4994	0.8408
17	1.5176	0.8380	1.4988	0.8373
18	1.5070	0.8416	1.4903	0.8462
19	1.4915	0.8461	1.5116	0.8427
20	1.4893	0.8450	1.4855	0.8483
21	1.4798	0.8477	1.4638	0.8510
22	1.4694	0.8500	1.4724	0.8493
23	1.4647	0.8521	1.4638	0.8462
24	1.4522	0.8541	1.4655	0.8521
25	1.4501	0.8556	1.4536	0.8561
26	1.4423	0.8567	1.4765	0.8510
27	1.4357	0.8578	1.4516	0.8565
28	1.4256	0.8589	1.4447	0.8586
29	1.4225	0.8615	1.4372	0.8603
30	1.4117	0.8639	1.4373	0.8581
31	1.4093	0.8643	1.4229	0.8614
32	1.3999	0.8642	1.4188	0.8574
33	1.3451	0.8651	1.3312	0.8591
34	1.2920	0.8644	1.3110	0.8633
35	1.2633	0.8691	1.2885	0.8637
36	1.2519	0.8692	1.3112	0.8606
37	1.2403	0.8728	1.2845	0.8640
38	1.2479	0.8703	1.2946	0.8609
39	1.2393	0.8727	1.2996	0.8646
40	1.2321	0.8742	1.2731	0.8670
41	1.2119	0.8784	1.3031	0.8611
42	1.2168	0.8776	1.2919	0.8665
43	1.2123	0.8775	1.2895	0.8667
44	1.2036	0.8801	1.3043	0.8650
45	1.2024	0.8802	1.2836	0.8655
46	1.2066	0.8796	1.2853	0.8667
47	1.1950	0.8822	1.2841	0.8678
48	1.1814	0.8850	1.3034	0.8658
49	1.1751	0.8877	1.2979	0.8635
50	1.1825	0.8858	1.3186	0.8618
