Best Validation Accuracy:	0.87% at Epoch 54
Test Accuracy:	0.87%
Inference Speed:	11.41 samples/sec
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	2.3655	0.7497	2.0188	0.7677
2	1.9084	0.7719	1.8920	0.7787
3	1.8410	0.7846	1.8208	0.7890
4	1.7916	0.7925	1.7789	0.7929
5	1.7487	0.7980	1.7459	0.7992
6	1.6340	0.7997	1.4085	0.8029
7	1.3472	0.8055	1.3162	0.8090
8	1.2995	0.8130	1.2843	0.8130
9	1.2683	0.8179	1.2375	0.8230
10	1.2421	0.8235	1.2163	0.8259
11	1.2247	0.8262	1.1992	0.8281
12	1.2189	0.8266	1.1997	0.8285
13	1.1979	0.8305	1.2285	0.8296
14	1.1851	0.8335	1.1702	0.8353
15	1.1744	0.8362	1.1637	0.8332
16	1.1678	0.8371	1.1723	0.8370
17	1.1577	0.8386	1.1523	0.8416
18	1.1383	0.8429	1.1474	0.8379
19	1.1352	0.8442	1.1701	0.8393
20	1.1224	0.8489	1.1253	0.8452
21	1.1197	0.8486	1.1213	0.8455
22	1.1086	0.8496	1.1332	0.8442
23	1.1008	0.8526	1.1181	0.8425
24	1.0904	0.8556	1.1291	0.8484
25	1.0936	0.8536	1.1366	0.8457
26	1.0840	0.8561	1.1245	0.8497
27	1.0727	0.8594	1.0982	0.8553
28	1.0637	0.8615	1.1136	0.8449
29	1.0630	0.8608	1.0991	0.8565
30	1.0510	0.8652	1.1153	0.8493
31	1.0469	0.8652	1.0885	0.8562
32	1.0401	0.8669	1.0943	0.8524
33	1.0368	0.8681	1.0835	0.8531
34	1.0180	0.8723	1.0863	0.8551
35	1.0222	0.8710	1.1006	0.8525
36	1.0123	0.8738	1.0973	0.8526
37	1.0066	0.8749	1.0779	0.8586
38	1.0019	0.8765	1.0622	0.8609
39	0.9903	0.8789	1.0848	0.8548
40	0.9830	0.8801	1.0848	0.8598
41	0.9795	0.8815	1.0661	0.8624
42	0.9783	0.8807	1.0866	0.8535
43	0.9628	0.8859	1.0929	0.8535
44	0.9605	0.8854	1.0644	0.8608
45	0.9554	0.8873	1.1001	0.8572
46	0.9458	0.8897	1.0834	0.8651
47	0.9426	0.8916	1.0879	0.8590
48	0.9377	0.8913	1.0766	0.8632
49	0.9349	0.8926	1.1032	0.8534
50	0.9205	0.8958	1.0783	0.8606
51	0.9211	0.8957	1.1172	0.8553
52	0.9200	0.8956	1.0927	0.8602
53	0.9029	0.9005	1.1115	0.8566
54	0.8959	0.9027	1.1009	0.8656
55	0.8906	0.9038	1.1108	0.8639
56	0.8914	0.9031	1.1143	0.8623
57	0.8828	0.9051	1.1213	0.8626
58	0.8746	0.9076	1.1245	0.8594
59	0.8662	0.9099	1.1166	0.8579
60	0.8592	0.9118	1.1415	0.8625
61	0.8511	0.9144	1.1280	0.8618
62	0.8566	0.9124	1.1479	0.8615
63	0.8480	0.9152	1.1189	0.8636
64	0.8406	0.9167	1.1318	0.8636
65	0.8314	0.9195	1.1572	0.8620
66	0.8334	0.9185	1.2799	0.8597
67	0.8357	0.9184	1.1225	0.8639
68	0.8195	0.9227	1.1541	0.8627
69	0.8111	0.9249	1.1502	0.8603
70	0.8146	0.9235	1.1707	0.8636
71	0.8004	0.9275	1.1881	0.8653
72	0.7979	0.9286	1.1605	0.8604
73	0.8025	0.9266	1.2442	0.8603
74	0.7963	0.9278	1.2156	0.8607
75	0.7868	0.9291	1.2139	0.8635
76	0.7866	0.9290	1.2349	0.8618
77	0.7819	0.9301	1.2563	0.8575
78	0.7654	0.9342	1.2287	0.8615
79	0.7620	0.9349	1.2559	0.8569
80	0.7557	0.9360	1.2205	0.8631
