Best Validation Accuracy:	0.86% at Epoch 46
Test Accuracy:	0.86%
Inference Speed:	7.18 samples/sec
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	2.5034	0.7407	2.0675	0.7649
2	1.9335	0.7683	2.0241	0.7650
3	1.8647	0.7771	1.8539	0.7782
4	1.8190	0.7874	1.8199	0.7845
5	1.7871	0.7922	1.7669	0.7941
6	1.7504	0.7981	1.7432	0.7976
7	1.7277	0.7994	1.7351	0.7937
8	1.6945	0.8063	1.6936	0.7975
9	1.6674	0.8093	1.6681	0.8096
10	1.6372	0.8165	1.6214	0.8191
11	1.6103	0.8217	1.6019	0.8243
12	1.5912	0.8250	1.5883	0.8236
13	1.5832	0.8264	1.5654	0.8270
14	1.5632	0.8298	1.5722	0.8275
15	1.5512	0.8328	1.5514	0.8337
16	1.5398	0.8348	1.5820	0.8280
17	1.5327	0.8357	1.5178	0.8387
18	1.5175	0.8397	1.5485	0.8334
19	1.5113	0.8421	1.5109	0.8395
20	1.5007	0.8428	1.4980	0.8393
21	1.4928	0.8460	1.5424	0.8308
22	1.4533	0.8454	1.4070	0.8391
23	1.3684	0.8479	1.3742	0.8424
24	1.3543	0.8503	1.3780	0.8367
25	1.3455	0.8504	1.3609	0.8439
26	1.3355	0.8538	1.3549	0.8479
27	1.3251	0.8563	1.3798	0.8453
28	1.3198	0.8568	1.3536	0.8508
29	1.3158	0.8579	1.3361	0.8480
30	1.3072	0.8609	1.3799	0.8503
31	1.3020	0.8613	1.3379	0.8521
32	1.2984	0.8630	1.3772	0.8516
33	1.2880	0.8654	1.3522	0.8533
34	1.2844	0.8667	1.3610	0.8488
35	1.2748	0.8689	1.3324	0.8544
36	1.2676	0.8698	1.3388	0.8550
37	1.2644	0.8713	1.3422	0.8547
38	1.2634	0.8699	1.3423	0.8544
39	1.2451	0.8746	1.3279	0.8571
40	1.2448	0.8743	1.3512	0.8572
41	1.2450	0.8745	1.3412	0.8532
42	1.2398	0.8756	1.3659	0.8571
43	1.2283	0.8780	1.3644	0.8561
44	1.2179	0.8802	1.3491	0.8574
45	1.2122	0.8819	1.3543	0.8567
46	1.2070	0.8846	1.3397	0.8602
47	1.2061	0.8833	1.3430	0.8542
48	1.2016	0.8852	1.3291	0.8596
49	1.1880	0.8885	1.3502	0.8593
50	1.1909	0.8876	1.3624	0.8523
