Best Validation Accuracy:	0.86% at Epoch 40		model_5
Test Accuracy:	0.87%		dropout=0.1
Inference Speed:	11.43 samples/sec
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	2.2118	0.7589	1.9314	0.7745
2	1.9089	0.7746	1.8617	0.7897
3	1.8404	0.7854	1.7742	0.8010
4	1.7932	0.7882	1.8295	0.7750
5	1.7575	0.7937	1.7188	0.8024
6	1.7246	0.7989	1.7110	0.8036
7	1.6997	0.8048	1.6463	0.8194
8	1.6751	0.8069	1.6482	0.8186
9	1.6523	0.8135	1.5964	0.8277
10	1.6290	0.8178	1.5947	0.8259
11	1.6095	0.8197	1.5905	0.8253
12	1.5970	0.8236	1.5645	0.8292
13	1.5835	0.8248	1.5552	0.8303
14	1.5718	0.8270	1.5399	0.8356
15	1.5566	0.8303	1.5224	0.8362
16	1.5443	0.8315	1.5168	0.8371
17	1.5364	0.8349	1.5045	0.8390
18	1.5276	0.8360	1.5081	0.8428
19	1.4915	0.8376	1.3987	0.8395
20	1.4094	0.8366	1.3777	0.8403
21	1.3925	0.8381	1.3475	0.8492
22	1.3839	0.8411	1.3496	0.8487
23	1.3820	0.8426	1.3399	0.8505
24	1.3672	0.8467	1.3536	0.8447
25	1.3650	0.8473	1.3397	0.8520
26	1.3565	0.8493	1.3446	0.8494
27	1.3446	0.8518	1.3340	0.8521
28	1.3430	0.8516	1.3345	0.8546
29	1.3363	0.8540	1.3176	0.8563
30	1.3255	0.8560	1.3418	0.8508
31	1.3217	0.8570	1.3146	0.8590
32	1.3225	0.8575	1.3225	0.8569
33	1.3170	0.8573	1.3113	0.8578
34	1.3075	0.8597	1.3055	0.8576
35	1.3039	0.8613	1.3205	0.8555
36	1.3036	0.8612	1.3055	0.8579
37	1.2948	0.8641	1.3113	0.8568
38	1.2903	0.8642	1.3130	0.8575
39	1.2813	0.8658	1.3207	0.8567
40	1.2775	0.8667	1.2992	0.8619
