Best Validation Accuracy:	0.87% at Epoch 58		model_8
Test Accuracy:	0.88%		dropout=0.2
Inference Speed:	10.98 samples/sec
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	2.4478	0.7463	2.0516	0.7646
2	1.9349	0.7697	1.8723	0.7807
3	1.8465	0.7871	1.8228	0.7892
4	1.8033	0.7911	1.8093	0.7921
5	1.7630	0.7958	1.7545	0.7961
6	1.7405	0.7995	1.7464	0.7952
7	1.7029	0.8062	1.6905	0.8096
8	1.6737	0.8113	1.6771	0.8135
9	1.6535	0.8144	1.6403	0.8173
10	1.6265	0.8194	1.6201	0.8197
11	1.6100	0.8220	1.5964	0.8260
12	1.5936	0.8245	1.6207	0.8192
13	1.5781	0.8278	1.5920	0.8254
14	1.5685	0.8296	1.5689	0.8290
15	1.5549	0.8311	1.5493	0.8333
16	1.5370	0.8363	1.5418	0.8342
17	1.5280	0.8377	1.5229	0.8376
18	1.5221	0.8377	1.5177	0.8374
19	1.5045	0.8412	1.5206	0.8400
20	1.4961	0.8429	1.5034	0.8408
21	1.4910	0.8450	1.5117	0.8414
22	1.4813	0.8471	1.5322	0.8381
23	1.4761	0.8464	1.4650	0.8493
24	1.4467	0.8476	1.4552	0.8360
25	1.3788	0.8500	1.3773	0.8493
26	1.3633	0.8493	1.3568	0.8490
27	1.3332	0.8536	1.3716	0.8482
28	1.3304	0.8550	1.3547	0.8475
29	1.3188	0.8577	1.3204	0.8587
30	1.3062	0.8604	1.3410	0.8543
31	1.2979	0.8615	1.3494	0.8482
32	1.3013	0.8615	1.3374	0.8534
33	1.2969	0.8618	1.3291	0.8553
34	1.2828	0.8654	1.3242	0.8559
35	1.2768	0.8659	1.3123	0.8615
36	1.2699	0.8685	1.3271	0.8573
37	1.2702	0.8668	1.3348	0.8545
38	1.2680	0.8680	1.3047	0.8611
39	1.2545	0.8699	1.3146	0.8609
40	1.2529	0.8718	1.3192	0.8571
41	1.2450	0.8739	1.2964	0.8630
42	1.2352	0.8762	1.3216	0.8604
43	1.2314	0.8768	1.2978	0.8651
44	1.2397	0.8739	1.3271	0.8581
45	1.2280	0.8782	1.3085	0.8592
46	1.2186	0.8793	1.3063	0.8636
47	1.2175	0.8801	1.3079	0.8646
48	1.2083	0.8815	1.2883	0.8670
49	1.2051	0.8834	1.3052	0.8614
50	1.2035	0.8826	1.3091	0.8633
51	1.1933	0.8860	1.3172	0.8657
52	1.1867	0.8881	1.3096	0.8651
53	1.1829	0.8885	1.3067	0.8672
54	1.1760	0.8902	1.2939	0.8653
55	1.1797	0.8889	1.3164	0.8640
56	1.1704	0.8925	1.3065	0.8668
57	1.1646	0.8935	1.3465	0.8593
58	1.1633	0.8937	1.3122	0.8682
59	1.1647	0.8913	1.3279	0.8671
60	1.1597	0.8945	1.3101	0.8679
61	1.1500	0.8968	1.3578	0.8612
62	1.1454	0.8979	1.3135	0.8665
63	1.1355	0.9012	1.3512	0.8659
64	1.1237	0.9036	1.3186	0.8649
65	1.1179	0.9055	1.3555	0.8659
66	1.1241	0.9037	1.3262	0.8636
67	1.1235	0.9048	1.3362	0.8623
68	1.1214	0.9053	1.3337	0.8611
69	1.1001	0.9105	1.3409	0.8669
70	1.1081	0.9078	1.3830	0.8631
71	1.0978	0.9103	1.3948	0.8576
72	1.0969	0.9111	1.3464	0.8614
73	1.0965	0.9114	1.3703	0.8637
74	1.0833	0.9153	1.3538	0.8672
75	1.0861	0.9141	1.3952	0.8569
76	1.0862	0.9144	1.3456	0.8635
77	1.0802	0.9163	1.3927	0.8620
78	1.0660	0.9191	1.3700	0.8638
79	1.0583	0.9215	1.3987	0.8648
80	1.0566	0.9221	1.3737	0.8674
