Best Validation Accuracy:	0.87% at Epoch 72
Test Accuracy:	0.87%
Inference Speed:	11.23 samples/sec
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	2.7835	0.7187	2.3986	0.7666
2	2.0154	0.7687	1.9382	0.7666
3	1.9225	0.7705	1.8618	0.7704
4	1.8686	0.7770	1.8399	0.7868
5	1.8363	0.7863	1.7928	0.7897
6	1.8127	0.7895	1.8033	0.7896
7	1.7910	0.7939	1.7620	0.7967
8	1.7809	0.7937	1.7367	0.8000
9	1.7579	0.7977	1.7178	0.8016
10	1.7313	0.8024	1.6821	0.8085
11	1.7056	0.8045	1.6810	0.8059
12	1.6943	0.8070	1.6741	0.8082
13	1.6799	0.8093	1.6447	0.8121
14	1.6651	0.8119	1.6308	0.8139
15	1.6541	0.8144	1.6167	0.8192
16	1.6409	0.8174	1.5935	0.8251
17	1.6226	0.8210	1.5765	0.8273
18	1.6064	0.8233	1.5571	0.8318
19	1.5943	0.8263	1.5368	0.8334
20	1.5770	0.8282	1.5365	0.8352
21	1.5714	0.8284	1.5482	0.8337
22	1.5613	0.8297	1.5215	0.8364
23	1.5508	0.8320	1.5040	0.8387
24	1.5423	0.8328	1.5030	0.8415
25	1.5361	0.8361	1.4882	0.8451
26	1.5227	0.8385	1.4820	0.8445
27	1.5219	0.8384	1.4857	0.8437
28	1.5096	0.8415	1.4816	0.8414
29	1.5044	0.8434	1.4714	0.8465
30	1.4949	0.8456	1.4603	0.8506
31	1.4932	0.8454	1.4631	0.8506
32	1.4916	0.8453	1.4615	0.8526
33	1.4764	0.8485	1.4516	0.8510
34	1.4744	0.8486	1.4359	0.8564
35	1.4690	0.8515	1.4381	0.8547
36	1.4652	0.8494	1.4465	0.8540
37	1.4594	0.8527	1.4304	0.8579
38	1.4532	0.8538	1.4176	0.8578
39	1.4416	0.8567	1.4280	0.8578
40	1.4433	0.8554	1.4324	0.8553
41	1.4379	0.8583	1.4183	0.8577
42	1.4343	0.8581	1.4314	0.8586
43	1.4315	0.8587	1.4205	0.8604
44	1.4281	0.8604	1.4078	0.8648
45	1.4174	0.8618	1.4118	0.8631
46	1.4172	0.8621	1.4093	0.8611
47	1.4071	0.8646	1.4149	0.8619
48	1.4109	0.8639	1.3995	0.8662
49	1.3947	0.8662	1.3743	0.8675
50	1.3530	0.8649	1.3243	0.8635
51	1.3040	0.8648	1.2923	0.8626
52	1.2799	0.8674	1.2829	0.8665
53	1.2775	0.8672	1.2793	0.8644
54	1.2693	0.8689	1.2931	0.8599
55	1.2685	0.8697	1.2702	0.8686
56	1.2593	0.8709	1.2712	0.8660
57	1.2586	0.8724	1.2797	0.8671
58	1.2520	0.8729	1.2664	0.8697
59	1.2434	0.8749	1.2668	0.8680
60	1.2408	0.8768	1.2610	0.8689
61	1.2390	0.8757	1.2561	0.8693
62	1.2378	0.8769	1.2931	0.8619
63	1.2325	0.8777	1.2682	0.8657
64	1.2252	0.8785	1.2597	0.8671
65	1.2256	0.8796	1.2801	0.8690
66	1.2186	0.8801	1.2583	0.8718
67	1.2120	0.8821	1.2733	0.8680
68	1.2093	0.8827	1.2580	0.8721
69	1.2064	0.8846	1.2724	0.8698
70	1.2062	0.8845	1.2656	0.8697
71	1.2069	0.8839	1.2731	0.8715
72	1.1962	0.8872	1.2715	0.8726
73	1.1937	0.8871	1.2663	0.8722
74	1.1896	0.8874	1.2647	0.8703
75	1.1940	0.8864	1.2779	0.8719
76	1.1930	0.8869	1.2735	0.8711
77	1.1894	0.8883	1.2863	0.8715
78	1.1841	0.8877	1.2809	0.8712
79	1.1797	0.8916	1.2770	0.8722
80	1.1709	0.8930	1.2823	0.8709
