Best Validation Accuracy:	
Test Accuracy:	
Inference Speed:	
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	2.3995	0.7491	1.9663	0.7670
2	1.9140	0.7712	1.8612	0.7852
3	1.8546	0.7849	1.8174	0.7855
4	1.8111	0.7903	1.7745	0.7935
5	1.7773	0.7936	1.7602	0.7957
6	1.7468	0.7981	1.7178	0.8021
7	1.7255	0.8021	1.7087	0.8040
8	1.7045	0.8042	1.6797	0.8100
9	1.6807	0.8087	1.6654	0.8128
10	1.6650	0.8119	1.6415	0.8184
11	1.6464	0.8156	1.6732	0.8134
12	1.6265	0.8188	1.5959	0.8249
13	1.5991	0.8229	1.5753	0.8305
14	1.5760	0.8263	1.5535	0.8327
15	1.5674	0.8268	1.5501	0.8352
16	1.5521	0.8303	1.5297	0.8390
17	1.5437	0.8325	1.5330	0.8319
18	1.5342	0.8346	1.5114	0.8411
19	1.5187	0.8374	1.5002	0.8417
20	1.5080	0.8399	1.5106	0.8399
21	1.4972	0.8430	1.4864	0.8458
22	1.4865	0.8453	1.4692	0.8494
23	1.4787	0.8462	1.4735	0.8485
24	1.4696	0.8473	1.4755	0.8436
25	1.4414	0.8468	1.3943	0.8522
26	1.3779	0.8487	1.3477	0.8497
27	1.3547	0.8511	1.3381	0.8557
28	1.3427	0.8550	1.3434	0.8549
29	1.3414	0.8555	1.3677	0.8520
30	1.3433	0.8534	1.3347	0.8570
31	1.3237	0.8586	1.3318	0.8561
32	1.3186	0.8605	1.3384	0.8596
33	1.3135	0.8617	1.3229	0.8611
34	1.3042	0.8633	1.3372	0.8570
35	1.3013	0.8641	1.3218	0.8640
36	1.2942	0.8656	1.3212	0.8613
37	1.2905	0.8660	1.3492	0.8594
38	1.2800	0.8690	1.3309	0.8605
39	1.2811	0.8697	1.3388	0.8565
40	1.2754	0.8692	1.3334	0.8609
41	1.2677	0.8728	1.3219	0.8580
42	1.2665	0.8721	1.3126	0.8662
43	1.2605	0.8746	1.3169	0.8586
44	1.2545	0.8742	1.3084	0.8644
45	1.2435	0.8773	1.3452	0.8632
46	1.2429	0.8791	1.3097	0.8579
47	1.2358	0.8796	1.3178	0.8659
48	1.2328	0.8801	1.3294	0.8659
49	1.2321	0.8810	1.3210	0.8649
50	1.2234	0.8816	1.3330	0.8640
