Best Validation Accuracy:	
Test Accuracy:	
Inference Speed:	
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	2.3685	0.7322	2.9826	0.7698
2	1.9624	0.7671	1.9356	0.7698
3	1.9143	0.7695	1.8792	0.7774
4	1.8918	0.7755	1.8669	0.7780
5	1.8786	0.7761	1.8507	0.7795
6	1.8639	0.7761	1.8608	0.7790
7	1.8472	0.7742	1.9193	0.7774
8	1.8104	0.7778	1.8203	0.7655
9	1.7940	0.7774	1.8040	0.7733
10	1.7788	0.7785	1.7739	0.7788
11	1.7708	0.7794	1.7984	0.7668
12	1.7706	0.7797	1.8301	0.7601
13	1.7635	0.7807	1.7486	0.7823
14	1.7589	0.7819	1.7537	0.7806
15	1.7561	0.7816	1.8027	0.7798
16	1.7565	0.7821	1.7659	0.7830
17	1.7521	0.7810	1.7380	0.7839
18	1.7501	0.7826	1.7308	0.7849
19	1.7426	0.7834	1.7447	0.7820
20	1.7428	0.7836	1.7256	0.7837
21	1.7417	0.7828	1.7234	0.7835
22	1.7426	0.7833	1.7254	0.7850
23	1.7424	0.7834	1.7205	0.7851
24	1.7439	0.7830	1.7183	0.7858
25	1.7427	0.7832	1.7270	0.7833
26	1.7371	0.7839	1.7273	0.7847
27	1.7475	0.7816	1.7337	0.7813
28	1.7419	0.7840	1.7374	0.7810
29	1.7374	0.7835	1.7177	0.7845
30	1.7374	0.7840	1.7355	0.7799
31	1.7399	0.7838	1.7940	0.7658
32	1.7384	0.7838	1.7240	0.7874
33	1.7373	0.7843	1.7236	0.7854
34	1.7342	0.7847	1.7412	0.7798
35	1.7373	0.7834	1.7178	0.7872
36	1.7344	0.7850	1.7296	0.7845
37	1.7324	0.7843	1.7473	0.7802
38	1.7332	0.7847	1.7346	0.7826
39	1.7331	0.7853	1.7214	0.7836
40	1.7317	0.7850	1.7480	0.7803
41	1.7299	0.7848	1.7156	0.7859
42	1.7292	0.7853	1.7216	0.7877
43	1.7321	0.7854	1.7203	0.7842
44	1.7292	0.7851	1.7171	0.7876
45	1.7300	0.7856	1.7283	0.7853
46	1.7270	0.7856	1.7240	0.7847
47	1.7291	0.7851	1.7134	0.7858
48	1.7267	0.7848	1.7402	0.7773
49	1.7250	0.7854	1.7251	0.7868
50	1.7253	0.7852	1.7352	0.7863
